date,teamId,team,teamName,metric_path,value
2026-02-26,24,ANA,Anaheim Ducks,skatingDistanceDetails[0].distanceMaxGame.imperial,49.9698
2026-02-26,24,ANA,Anaheim Ducks,skatingDistanceDetails[0].distanceMaxGame.metric,80.4146
2026-02-26,24,ANA,Anaheim Ducks,skatingDistanceDetails[0].distanceMaxGame.rank,6.0
2026-02-26,24,ANA,Anaheim Ducks,skatingDistanceDetails[0].distanceMaxGame.leagueAvg.imperial,49.2112
2026-02-26,24,ANA,Anaheim Ducks,skatingDistanceDetails[0].distanceMaxGame.leagueAvg.metric,79.1939
2026-02-26,24,ANA,Anaheim Ducks,skatingDistanceDetails[0].distanceMaxGame.overlay.awayTeam.score,4.0
2026-02-26,24,ANA,Anaheim Ducks,skatingDistanceDetails[0].distanceMaxGame.overlay.homeTeam.score,5.0
2026-02-26,24,ANA,Anaheim Ducks,skatingDistanceDetails[0].distanceMaxGame.overlay.periodDescriptor.maxRegulationPeriods,3.0
2026-02-26,24,ANA,Anaheim Ducks,skatingDistanceDetails[0].distanceMaxGame.overlay.periodDescriptor.number,1.0
2026-02-26,24,ANA,Anaheim Ducks,skatingDistanceDetails[0].distanceMaxGame.overlay.gameType,2.0
2026-02-26,24,ANA,Anaheim Ducks,skatingDistanceDetails[0].distanceMaxPeriod.imperial,16.5928
2026-02-26,24,ANA,Anaheim Ducks,skatingDistanceDetails[0].distanceMaxPeriod.metric,26.7022
2026-02-26,24,ANA,Anaheim Ducks,skatingDistanceDetails[0].distanceMaxPeriod.rank,16.0
2026-02-26,24,ANA,Anaheim Ducks,skatingDistanceDetails[0].distanceMaxPeriod.leagueAvg.imperial,16.5625
2026-02-26,24,ANA,Anaheim Ducks,skatingDistanceDetails[0].distanceMaxPeriod.leagueAvg.metric,26.6534
2026-02-26,24,ANA,Anaheim Ducks,skatingDistanceDetails[0].distanceMaxPeriod.overlay.awayTeam.score,4.0
2026-02-26,24,ANA,Anaheim Ducks,skatingDistanceDetails[0].distanceMaxPeriod.overlay.homeTeam.score,3.0
2026-02-26,24,ANA,Anaheim Ducks,skatingDistanceDetails[0].distanceMaxPeriod.overlay.gameOutcome.otPeriods,1.0
2026-02-26,24,ANA,Anaheim Ducks,skatingDistanceDetails[0].distanceMaxPeriod.overlay.periodDescriptor.maxRegulationPeriods,3.0
2026-02-26,24,ANA,Anaheim Ducks,skatingDistanceDetails[0].distanceMaxPeriod.overlay.periodDescriptor.number,1.0
2026-02-26,24,ANA,Anaheim Ducks,skatingDistanceDetails[0].distanceMaxPeriod.overlay.gameType,2.0
2026-02-26,24,ANA,Anaheim Ducks,skatingDistanceDetails[1].distanceTotal.imperial,1628.587
2026-02-26,24,ANA,Anaheim Ducks,skatingDistanceDetails[1].distanceTotal.metric,2620.8288
2026-02-26,24,ANA,Anaheim Ducks,skatingDistanceDetails[1].distanceTotal.rank,23.0
2026-02-26,24,ANA,Anaheim Ducks,skatingDistanceDetails[1].distanceTotal.leagueAvg.imperial,1642.5458
2026-02-26,24,ANA,Anaheim Ducks,skatingDistanceDetails[1].distanceTotal.leagueAvg.metric,2643.2923
2026-02-26,24,ANA,Anaheim Ducks,skatingDistanceDetails[1].distancePer60.imperial,9.7364
2026-02-26,24,ANA,Anaheim Ducks,skatingDistanceDetails[1].distancePer60.metric,15.6685
2026-02-26,24,ANA,Anaheim Ducks,skatingDistanceDetails[1].distancePer60.rank,8.0
2026-02-26,24,ANA,Anaheim Ducks,skatingDistanceDetails[1].distancePer60.leagueAvg.imperial,9.598
2026-02-26,24,ANA,Anaheim Ducks,skatingDistanceDetails[1].distancePer60.leagueAvg.metric,15.4457
2026-02-26,24,ANA,Anaheim Ducks,skatingDistanceDetails[1].distanceMaxGame.imperial,31.8225
2026-02-26,24,ANA,Anaheim Ducks,skatingDistanceDetails[1].distanceMaxGame.metric,51.2108
